id,brand,item,image,price
6934736,GERUA,GERUA Women Brown Block Print Midi A-Line Dress,http://assets.myntassets.com/v1/assets/images/6934736/2018/7/26/8a0bab60-7bca-40ab-bd9e-2bf80f939a8a1532584109753-GERUA-Women-Brown-Printed-Maxi-Dress-3271532584109637-1.jpg,674
8216595,The Indian Garage Co,The Indian Garage Co Men White Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/8216595/2018/12/18/d3a09619-072a-4653-9751-c5bd611b8eac1545125281678-The-Indian-Garage-Co-Men-Kurtas-4381545125279649-1.jpg,679
8671877,Anouk,Anouk Women Navy Blue Woven Design Mojaris,http://assets.myntassets.com/v1/assets/images/8671877/2019/3/18/cfe08993-12f0-4dd7-8782-e812bfb6658c1552893439466-Anouk-Women-Flats-6051552893438362-1.jpg,639
2489397,HERE&NOW,HERE&NOW Women Off-White & Pink Printed Wide Leg Cropped Palazzos,http://assets.myntassets.com/v1/assets/images/2489397/2018/3/8/11520495133355-HERENOW-Women-Palazzos-7651520495133220-1.jpg,449
1852521,Dupatta Bazaar,Dupatta Bazaar Beige Embroidered Striped Dupatta,http://assets.myntassets.com/v1/assets/images/1852521/2017/4/12/11491996183809-Dupatta-Bazaar-Women-Dupatta-4131491996183728-1.jpg,449
2528136,Libas,Libas Women White & Blue Printed Wide Leg Palazzos,http://assets.myntassets.com/v1/assets/images/2528136/2018/3/17/11521267416189-Libas-Women-Palazzos-231521267415984-1.jpg,299
2579222,Shree,Shree Women Peach-Coloured Regular Fit Solid Regular Trousers,http://assets.myntassets.com/v1/assets/images/2579222/2018/3/13/11520940582195-Shree-Women-Peach-Coloured-Regular-Fit-Solid-Regular-Trousers-9411520940582010-1.jpg,489
6819015,Rangriti,Rangriti Women Cream-Coloured Regular Fit Solid Cropped Trousers,http://assets.myntassets.com/v1/assets/images/6819015/2019/1/3/f2a252cd-bc78-4d7a-a4b1-35d8130df4ed1546515860083-Rangriti-Women-Cream-Coloured-Regular-Fit-Solid-Cropped-Trou-1.jpg,559
4440636,Jaipur Kurti,Jaipur Kurti Women Green Solid Maxi Dress,http://assets.myntassets.com/v1/assets/images/4440636/2018/4/6/11522996689861-Jaipur-Kurti-Women-Dresses-8171522996689742-1.jpg,662
2443552,Freehand,Freehand Men Black Solid Slim Fit Straight Kurta,http://assets.myntassets.com/v1/assets/images/2443552/2018/3/14/11521010491667-Freehand-Men-Kurtas-9211521010491538-1.jpg,679
6937678,IMARA,IMARA Women Green Solid Top,http://assets.myntassets.com/v1/assets/images/6937678/2018/8/30/c2f9babe-67a7-47b6-b3e7-9c41af3c5d241535629754183-IMARA-Women-Turquoise-Blue-Solid-Top-4901535629754056-1.jpg,639
7990821,Shree,Shree Women Black & Beige Printed A-Line Kurta,http://assets.myntassets.com/v1/assets/images/7990821/2018/11/29/5ad29ddf-d1cb-4e26-963c-d685cf97ce031543490060681-Shree-Women-Kurtas-1381543490060071-1.jpg,524
9791925,Clora Creation,Clora Creation Women Black Solid Straight Palazzos,http://assets.myntassets.com/v1/assets/images/productimage/2019/5/24/fb19224e-b2e1-4c33-a32f-b1b8901f9d6d1558671601111-1.jpg,699
1923383,Freehand,Freehand Men Pink Checked Straight Kurta,http://assets.myntassets.com/v1/assets/images/1923383/2017/7/21/11500622806214-Freehand-Men-Orange-Checked-Straight-Kurta-1351500622805949-1.jpg,599
2289769,DEYANN,Deyann Men Brown Dupion Silk Dhoti,http://assets.myntassets.com/v1/assets/images/2289769/2018/3/2/11519995229505-Deyann-Men-Brown-Dupion-Silk-Dhoti-8631519995229208-1.jpg,598
1314868,Dupatta Bazaar,Dupatta Bazaar Yellow Dupatta,http://assets.myntassets.com/v1/assets/images/1314868/2016/4/20/11461152959885-Dupatta-Bazaar-Women-Dupatta-1711461152959632-1.jpg,424
7098813,Libas,Libas Women Mauve & Golden Printed Wide Leg Palazzos,http://assets.myntassets.com/v1/assets/images/7098813/2018/8/17/b93d63fd-8eaa-42f7-bad7-2462bdcb8df71534505178096-Libas-Women-Mauve-Printed-Wide-Leg-Palazzos-7331534505177958-1.jpg,479
2018018,IMARA,IMARA Women White Solid Top,http://assets.myntassets.com/v1/assets/images/2018018/2017/8/30/11504078438029-IMARA-Women-White-Solid-Top-2191504078437823-1.jpg,599
3077134,Hangup,Hangup Men Green Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/3077134/2018/3/10/11520656102826-Hangup-Men-Green-Solid-Straight-Kurta-5131520656102687-1.jpg,699
2359425,IMARA,IMARA Women Green Printed Top,http://assets.myntassets.com/v1/assets/images/2359425/2018/2/13/11518527345716-IMARA-Women-Green-Printed-Top-9181518527345430-1.jpg,499
6930478,612 league,612 league Boys Maroon Nehru Jacket,http://assets.myntassets.com/v1/assets/images/6930478/2018/8/7/17b638fe-e398-448d-a150-b104cdeec07f1533622992766-612-league-Boys-Jackets-3391533622992691-1.jpg,575
6628667,Svanik,Svanik Men Grey Woven Design Straight Kurta,http://assets.myntassets.com/v1/assets/images/6628667/2018/6/5/19b353c0-7ae1-4068-b9f1-3b7fa2f1e7e91528186102482-Svanik--solid-cotton-Classic-Long-Kurta-8671528186101048-1.jpg,639
5702593,Rangriti,Rangriti Women Assorted Solid Top,http://assets.myntassets.com/v1/assets/images/5702593/2018/5/21/35ee3a70-66da-4e42-a359-6910ec9379851526878832591-Rangriti-Women-Tops-8871526878832415-1.jpg,639
9695379,Fabindia,Fabindia Women Blue Regular Fit Solid Regular Trousers,http://assets.myntassets.com/v1/assets/images/9695379/2019/5/23/15e4bd8c-5fcd-408b-8f58-89a2ddf803bc1558617405687-Fabindia-Women-Palazzos-7851558617404598-1.jpg,690
6958765,Hangup,Hangup Men Purple Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/6958765/2018/7/17/f3b393c0-ce89-4280-833f-a101446b90741531829471326-Hangup-Men-Purple--Multicoloured-Printed-Straight-Kurta-511531829471088-1.jpg,699
1923393,The Indian Garage Co,The Indian Garage Co Men Off-White Solid A-Line Kurta,http://assets.myntassets.com/v1/assets/images/1923393/2017/6/14/11497429286761-The-Indian-Garage-Co-Men-Off-White-Solid-A-Line-Kurta-1941497429286531-1.jpg,349
8944837,Sangria,Sangria Women Navy Blue Embroidered Straight Kurta,http://assets.myntassets.com/v1/assets/images/8944837/2019/3/1/983f9f8f-4e72-42d8-93e9-416d85a62a491551444292713-Round-Neck-Embroidered-Straight-Fit-Kurta-With-34Th-Sleeves--1.jpg,349
5702562,Rangriti,Rangriti Women Assorted Woven Design Straight Kurta,http://assets.myntassets.com/v1/assets/images/5702562/2018/5/21/ae13715d-99c8-4f5c-b523-6d06750c44de1526878915942-Rangriti-Women-Kurtas-5531526878915710-1.jpg,499
9862363,RIKIDOOS,RIKIDOOS Boys Orange Striped Straight Kurta,http://assets.myntassets.com/v1/assets/images/9862363/2019/6/6/cfd10a7d-0f5c-46de-8ec3-cd98bdf4cff11559811430229-RIKIDOOS-Boys-Kurtas-2881559811429550-1.jpg,319
5334698,HERE&NOW,HERE&NOW Women Grey & Maroon Printed Wide Leg Palazzos,http://assets.myntassets.com/v1/assets/images/5334698/2018/6/7/6bcd6a6a-3d93-4fea-9b75-6c87f2485b1c1528376949343-HERENOW-Women-Grey--Maroon-Printed-Wide-Leg-Palazzos-841528376949235-1.jpg,559
9452209,even,even Men White Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/9452209/2019/4/30/fc380d1e-8450-4aa1-bbcc-a997e33269681556613960307-even-Men-White-Straight-Kurta-2031556613959106-1.jpg,717
9006373,612 league,612 league Boys Red Nehru Jacket,http://assets.myntassets.com/v1/assets/images/productimage/2019/3/11/3458085f-f40b-4ab2-a5bf-3b484eeb39c51552296735583-1.jpg,645
3077146,Hangup,Hangup Men Blue Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/3077146/2018/3/10/11520656184978-Hangup-Men-Blue-Solid-Straight-Kurta-7181520656184777-1.jpg,699
7088047,Global Desi,Global Desi Women Blue Self-Striped Straight Kurta,http://assets.myntassets.com/v1/assets/images/7088047/2018/8/13/1dac55e9-09fe-4662-8f82-223be2a819a21534160147953-Global-Desi-Women-Kurtas-2461534160146996-1.jpg,674
465512,even,even Men White Kurta,http://assets.myntassets.com/v1/images/style/properties/even-Men-Kurtas_6c1267e43edb5e123de8450534da2be3_images.jpg,717
2129912,Fusion Beats,Fusion Beats Black Dhoti Pants,http://assets.myntassets.com/v1/assets/images/2129912/2017/9/27/11506500502088-Fusion-Beats-Women-Dhotis-3111506500501922-1.jpg,679
2355090,Sangria,Sangria Women Navy Blue Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/2355090/2017/12/20/11513762844032-Band-Collar-Full-Solid-Placket-Rayon-Kurta-With-Rolled-Up-Sleeves-2281513762843985-1.jpg,519
6892937,Sangria,Sangria Women Pink Solid A-Line Kurta,http://assets.myntassets.com/v1/assets/images/5421745/2018/4/23/11524467440490-Band-Collar-Yarn-Dyed-Cotton-Tunic-With-34Th-Sleeves-4521524467440320-1.jpg,649
1915880,even,even Men Black Striped Short Straight Kurta,http://assets.myntassets.com/v1/assets/images/1915880/2017/5/22/11495441193433-even-Men-Kurtas-4831495441193052-1.jpg,449
1891400,even,even Men Blue Striped Short Straight Kurta,http://assets.myntassets.com/v1/assets/images/1891400/2017/5/9/11494308773133-even-Men-Kurtas-5851494308772704-1.jpg,717
670389,Dupatta Bazaar,Dupatta Bazaar Purple Chiffon Dupatta,http://assets.myntassets.com/v1/images/style/properties/Dupatta-Bazaar-Purple-Chiffon-Dupatta_9c7c45bb17e1c161e1df8ef43704c6a4_images.jpg,359
2144392,Peter England Casuals,Peter England Casuals Men Yellow Solid Short Kurta,http://assets.myntassets.com/v1/assets/images/2144392/2017/10/21/11508579736602-Peter-England-Casuals-Men-Yellow-Solid-Straight-Kurta-3421508579736416-1.jpg,599
1618851,The Indian Garage Co,The Indian Garage Co Men Blue & White Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/1618851/2018/8/8/4bc734de-bc1f-4c23-88f5-767b002e5bb31533725690370-The-Indian-Garage-Co-Men-Blue-Printed-Shirt-Style-Kurta-4381-1.jpg,659
4449552,Libas,Libas Women Orange Printed Wide Leg Palazzos,http://assets.myntassets.com/v1/assets/images/4449552/2018/4/13/11523601487970-Libas-Women-Palazzos-6281523601487537-1.jpg,359
1314889,Dupatta Bazaar,Dupatta Bazaar Pink Dupatta,http://assets.myntassets.com/v1/assets/images/1314889/2016/4/20/11461153070320-Dupatta-Bazaar-Black--Beige-Checked-Dupatta-1961461153069992-1.jpg,349
7278106,AKS,AKS Women Grey Printed Maxi Dress,http://assets.myntassets.com/v1/assets/images/7278106/2018/9/19/dba2002f-8792-4174-9eeb-14dc366be12d1537348037993-AKS-Women-Grey-Printed-Maxi-Dress-571537348037841-1.jpg,679
2129753,Shree,Shree Women Grey Regular Fit Solid Regular Trousers,http://assets.myntassets.com/v1/assets/images/2129753/2018/11/17/7fef8c9b-68bd-4cf8-9007-abb47dbc6e2d1542440596036-Shree-Women-Grey-Regular-Fit-Solid-Regular-Trousers-6541542440595853-1.jpg,454
1774715,Fusion Beats,Fusion Beats Pink Printed A-Line Dress,http://assets.myntassets.com/v1/assets/images/1774715/2017/12/1/11512123100602-Fusion-Beats-Pink-Printed-A-Line-Dress-841512123100493-1.jpg,659
1548485,Anouk,Anouk Women Black Ajrakh A-Line Kurta,http://assets.myntassets.com/v1/assets/images/1548485/2017/8/11/11502435442098-Anouk-Women-Black-Ajrakh-A-Line-Kurta-8211502435441874-1.jpg,599
8532281,GERUA,GERUA Women Navy Blue & White Striped A-Line Dress,http://assets.myntassets.com/v1/assets/images/8532281/2019/2/1/3af7003d-b941-467a-81d9-b6b2435d036d1549000677350-GERUA-Women-Dresses-4971549000676216-1.jpg,629
8763591,612 league,612 league Boys Green Printed Kurta with Trousers,http://assets.myntassets.com/v1/assets/images/8763591/2019/4/8/66c5cda8-0169-4db7-af21-4d26a95089011554719532384-612-league-Boys-Kurta-Sets-4401554719531351-1.jpg,578
2354892,Svanik,Svanik Men Grey Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/2354892/2017/12/20/11513759902461-Svanik-grey-Solid-Cotton-Casual-Short-Kurta-191513759902334-1.jpg,454
2428092,Biba,Biba Women Navy Blue & Off-White Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/2428092/2018/2/7/11517982695699-INDIGO-3491517982695512-1.jpg,699
7988403,Nature Casuals,Grey Solid Kurta,http://assets.myntassets.com/v1/assets/images/productimage/2018/11/26/af829ace-c8f2-4916-9014-6048252a9c3e1543182650566-1.jpg,672
7446902,House of Pataudi,House of Pataudi Men Blue Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/7446902/2019/3/20/574905d6-08dc-45c9-b6e1-95858e5fa3071553076951740-House-of-Pataudi-Men-Blue-Solid-Straight-Kurta-8591553076949-1.jpg,699
2144393,Peter England Casuals,Peter England Casuals Men Green Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/2144393/2017/10/21/11508584148525-Peter-England-Casuals-Men-Green-Solid-Straight-Kurta-2141508584148368-1.jpg,649
9088751,Libas,Libas Women Black Solid A-Line Dress with Ethnic Jacket,http://assets.myntassets.com/v1/assets/images/9088751/2019/3/29/92e39bce-0d96-405c-888e-5cc205ceeedd1553838740733-Libas-Women-Black-Solid-A-Line-Dress-1451553838739316-1.jpg,639
7748113,Style Quotient,Style Quotient Women Coral Orange & Grey Checked Shawl,http://assets.myntassets.com/v1/assets/images/7748113/2018/12/18/179a235b-9bc7-405c-8019-1f702ec258e11545126576693-Shawl-6081545126575820-1.jpg,489
1747100,Global Desi,Global Desi Women Off-White Solid Kurta,http://assets.myntassets.com/v1/assets/images/1747100/2017/3/7/11488882261440-Global-Desi-Women-Off-white-Solid-Pakistani-Style-Kurta-8161488882261279-1.jpg,719
9695317,Fabindia,Fabindia Women Green Solid Trousers,http://assets.myntassets.com/v1/assets/images/9695317/2019/6/10/ecc0a76b-b9d2-4f90-b8bd-0a1357d5425f1560160384459-Fabindia-Women-Palazzos-6081560160383352-1.jpg,690
6892666,Sangria,Sangria Women Sea Green Embroidered Straight Kurta,http://assets.myntassets.com/v1/assets/images/5664273/2018/5/5/11525522502706-Sangria-Women-Sea-Green-Embroidered-Straight-Kurta-9851525522502542-1.jpg,499
7155921,612 league,612 league Boys Maroon Solid Nehru Jacket,http://assets.myntassets.com/v1/assets/images/7155921/2018/9/14/7ab0e09a-8581-4beb-9a5e-98e590a9ab2a1536923026689-612-league-Boys-Jackets-891536923026588-1.jpg,645
1997857,The Indian Garage Co,The Indian Garage Co Men Blue Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/1997857/2018/12/1/ca50491d-9e62-4827-9763-8501edffa0041543644272261-The-Indian-Garage-Co-Men-Blue-Solid-Straight-Kurta-837154364-1.jpg,449
7826771,GERUA,GERUA Women Navy Blue Solid Maxi Dress,http://assets.myntassets.com/v1/assets/images/7826771/2018/11/29/e97df520-f070-42c4-b333-e7fcebd813561543490949047-GERUA-Women-Dresses-5381543490948957-1.jpg,719
9792003,Clora Creation,Clora Creation Women White Straight Printed Palazzos,http://assets.myntassets.com/v1/assets/images/productimage/2019/5/24/9115b8c4-6463-49ba-ad2f-fbb73e1b4a0a1558653945526-1.jpg,711
1753948,Biba,Biba Girls Cream-Coloured & Magenta Hand Block Print Shorts,http://assets.myntassets.com/v1/assets/images/1753948/2017/2/21/11487678402605-Biba-Girls-Cream-Printed-Regular-Fit-Regular-8111487678402329-1.jpg,559
1361954,Freehand,Freehand Black Slim Fit Short Kurta,http://assets.myntassets.com/v1/assets/images/1361954/2016/6/15/11465974905043-Freehand-Black-Slim-Fit-Short-Kurta-5181465974904885-1.jpg,459
2401265,even,even Men White & Black Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/2401265/2018/1/17/11516167475898-d-1081516167475785-1.jpg,561
4449652,Libas,Libas Women Yellow Regular Fit Solid Regular Trousers,http://assets.myntassets.com/v1/assets/images/4449652/2018/4/12/11523532065155-Libas-Women-Trousers-4081523532064942-1.jpg,399
6540030,GERUA,GERUA Women Orange Striped Straight Kurta,http://assets.myntassets.com/v1/assets/images/6540030/2018/6/1/8a32470a-2f27-4daa-a94a-f2853517fe1f1527837285086-GERUA-Women-Kurtas-7171527837284904-1.jpg,629
5835550,Style Quotient,Style Quotient Men Blue Solid Chambray Straight Kurta,http://assets.myntassets.com/v1/assets/images/5835550/2018/6/9/37c9b9c9-dc87-4f4a-8e43-6bf7ca0014001528537192817-Style-Quotient-Men-Kurtas-4391528537192651-1.jpg,699
7270151,HERE&NOW,HERE&NOW Women Blue Solid Wide Leg Palazzos,http://assets.myntassets.com/v1/assets/images/7270151/2018/11/28/9539d6ce-15bf-4e3f-96a2-d806133fd1041543393435685-HERENOW-Women-Palazzos-6691543393434952-1.jpg,479
1866200,Rangriti,Rangriti Women Blue Regular Fit Solid Trousers,http://assets.myntassets.com/v1/assets/images/1866200/2017/9/28/11506597858332-Rangriti-Women-Blue-Solid-Cropped-Casual-Trousers-951506597858116-1.jpg,479
2492182,Lombard,Lombard Men Maroon Solid A-Line Kurta,http://assets.myntassets.com/v1/assets/images/2492182/2018/2/28/11519815953281-Lombard-Men-Kurtas-2101519815953128-1.jpg,389
7702669,AKS,AKS Women Mustard Yellow & Orange Striped Straight Kurta with Printed Detail,http://assets.myntassets.com/v1/assets/images/7702669/2018/10/29/679b26b8-146d-4ea6-9c02-69fdc1917ca71540798940956-AKS-Women-Kurtas-2211540798940844-1.jpg,599
7764066,Anouk,Anouk Women Pink Embroidered Straight Kurta,http://assets.myntassets.com/v1/assets/images/7764066/2019/3/5/1a6ea205-73dc-46ce-a559-0f4f05274ff71551785820485-Anouk-Women-Pink-Embroidered-Straight-Kurta-6641551785819399-1.jpg,659
7813871,House of Pataudi,House of Pataudi Men Off-White Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/7813871/2019/1/11/8fca35c7-309a-4108-b200-2b068f5b91891547192732368-House-of-Pataudi-Men-Off-White-Solid-Straight-Kurta-60015471-1.jpg,599
7748134,Style Quotient,Style Quotient Women Black Woven Design Shawl,http://assets.myntassets.com/v1/assets/images/7748134/2018/12/15/6e7982af-afef-4d59-bcab-c03e0f85a6d91544864976382-Shawl-6611544864975647-1.jpg,506
1751921,Freehand,Freehand Men Black Slim Fit Kurta,http://assets.myntassets.com/v1/assets/images/1751921/2017/3/8/11488953299986-Freehand-Men-Black-Slim-Fit-Kurta-4341488953299760-1.jpg,699
2508547,Nature Casuals,Nature Casuals Men Black Solid Straight Kurta,http://assets.myntassets.com/v1/assets/images/2508547/2018/3/19/11521439028702-Nature-Casuals-Men-Black-Solid-Straight-Kurta-8561521439028576-1.jpg,701
6818995,Rangriti,Rangriti Women Blue Regular Fit Solid Cropped Trousers,http://assets.myntassets.com/v1/assets/images/6818995/2018/7/11/0e7a4f30-72ad-49ad-8255-a4f2a7e15aa51531300901684-Rangriti-Women-Navy-Blue-Regular-Fit-Solid-Regular-Trousers-7711531300901227-1.jpg,314
2129755,Shree,Shree Women Navy Blue Regular Fit Solid Regular Trousers,http://assets.myntassets.com/v1/assets/images/2129755/2017/9/22/11506066047918-Shree-Women-Navy-Blue-Regular-Fit-Solid-Regular-Trousers-4571506066047743-1.jpg,524
7748121,Style Quotient,Style Quotient Women Multicoloured Woven Design Shawl,http://assets.myntassets.com/v1/assets/images/7748121/2018/12/15/fa1829ed-f6a4-4162-be87-8609251d13441544862884824-Shawl-9861544862883712-1.jpg,489
2321297,Shree,Shree Women Grey Floral Print Straight Kurta,http://assets.myntassets.com/v1/assets/images/2321297/2017/12/13/11513149665580-Shree-Women-Charcoal-Printed-Straight-Kurta-1521513149665500-1.jpg,649
6958789,Hangup,Hangup Men Blue & Multicoloured Printed Straight Kurta,http://assets.myntassets.com/v1/assets/images/6958789/2018/7/17/8492797d-9310-46b9-9746-f27e77dadf181531829531191-Hangup-Men-Blue--Multicoloured-Printed-Straight-Kurta-8181531829530982-1.jpg,699
8053425,HERE&NOW,HERE&NOW Women Peach-Coloured Hem Design Wide Leg Palazzos,http://assets.myntassets.com/v1/assets/images/8053425/2018/12/5/7de4929f-034f-49d5-8ebc-7349c48c47191543992757519-HERENOW-Women-Palazzos-4311543992755725-1.jpg,479
2388844,Colour Me by Melange,Colour Me by Melange Women Turquoise Blue Printed Flared Palazzos,http://assets.myntassets.com/v1/assets/images/2388844/2018/2/8/11518089580153-Colour-Me-by-Melange-Women-Turquoise-Blue-Printed-Flared-Palazzos-1961518089579986-1.jpg,389
